Part,Value,Device,Package,Description,Link
C1,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C2,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
C3,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C4,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
C5,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C6,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
C7,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
C8,10uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/Free-shipping-0805-10UF-50V-106K-10-X7R-100pcs/32333829597.html
C9,0.1uF,Capacitor X7R 50V,805,,http://www.aliexpress.com/item/SMD-0805-0-1UF-50V-capacitor-100NF-104K-X7R-10-100pcs/32330657462.html
D1,,1N4148 Diode,SOD323,,http://www.aliexpress.com/item/Free-shipping-100PCS-1N4148-SMD-IN4148-0805-SOD-323-Switching-Diode/1578916085.html
D2,,1N4148 Diode,SOD323,,http://www.aliexpress.com/item/Free-shipping-100PCS-1N4148-SMD-IN4148-0805-SOD-323-Switching-Diode/1578916085.html
D3,,1N4148 Diode,SOD323,,http://www.aliexpress.com/item/Free-shipping-100PCS-1N4148-SMD-IN4148-0805-SOD-323-Switching-Diode/1578916085.html
D4,,1N4148 Diode,SOD323,,http://www.aliexpress.com/item/Free-shipping-100PCS-1N4148-SMD-IN4148-0805-SOD-323-Switching-Diode/1578916085.html
D5,,1N4148 Diode,SOD323,,http://www.aliexpress.com/item/Free-shipping-100PCS-1N4148-SMD-IN4148-0805-SOD-323-Switching-Diode/1578916085.html
D6,,1N4148 Diode,SOD323,,http://www.aliexpress.com/item/Free-shipping-100PCS-1N4148-SMD-IN4148-0805-SOD-323-Switching-Diode/1578916085.html
D7,,1N4148 Diode,SOD323,,http://www.aliexpress.com/item/Free-shipping-100PCS-1N4148-SMD-IN4148-0805-SOD-323-Switching-Diode/1578916085.html
L1,,BSS138 Mosfet,SOT23-3,Logic Level converter 5V->3.3V,"http://www.aliexpress.com/item/100pcs-lot-DIN7985-M2-5-5mm-Stainless-Steel-A2-Pan-Head-Phillips-Cross-recessed-pan-head/940264374.html?spm=2114.30010308.3.91.xidEEd&ws_ab_test=searchweb201556_1,searchweb201644_5_505_506_503_504_301_502_10014_10001_10002_10016_10017_10010_10005_10006_10011_10003_10004_10009_10008,searchweb201560_3,searchweb1451318400_-1,searchweb1451318411_6450&btsid=b9274c03-095c-4156-8654-386760f47608"
L2,,BSS138 Mosfet,SOT23-3,Logic Level converter 5V->3.3V,"http://www.aliexpress.com/item/100pcs-lot-DIN7985-M2-5-5mm-Stainless-Steel-A2-Pan-Head-Phillips-Cross-recessed-pan-head/940264374.html?spm=2114.30010308.3.91.xidEEd&ws_ab_test=searchweb201556_1,searchweb201644_5_505_506_503_504_301_502_10014_10001_10002_10016_10017_10010_10005_10006_10011_10003_10004_10009_10008,searchweb201560_3,searchweb1451318400_-1,searchweb1451318411_6450&btsid=b9274c03-095c-4156-8654-386760f47608"
L9110,,L9110 motor driver,SO-08,,http://www.aliexpress.com/item/10PCS-free-shipping-100-new-original-patch-of-L9110S-full-bridge-driver-motor-drive-chip-new/1692421710.html
OK1,,PC817 optocoupler,SO-4,,http://www.aliexpress.com/item/Free-shipping-New-original-Everlight-SMD-optocoupler-EL817C-PC817-EL817S-C-SOP-4-guaranteed-authentic/1911433513.html
OK2,,PC817 optocoupler,SO-4,,http://www.aliexpress.com/item/Free-shipping-New-original-Everlight-SMD-optocoupler-EL817C-PC817-EL817S-C-SOP-4-guaranteed-authentic/1911433513.html
OK3,,PC817 optocoupler,SO-4,,http://www.aliexpress.com/item/Free-shipping-New-original-Everlight-SMD-optocoupler-EL817C-PC817-EL817S-C-SOP-4-guaranteed-authentic/1911433513.html
PINP1,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
PINP2,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
PINP3,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
PRK_DIST,,"4 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
PRK_LED,,"3 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
PSWITCH,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
R1,10K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-10k-10K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852348196.html
R2,1K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-1k-1K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852303271.html
R2_LED,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
R2_OC1,,PC817 optocoupler,SO-4,,http://www.aliexpress.com/item/Free-shipping-New-original-Everlight-SMD-optocoupler-EL817C-PC817-EL817S-C-SOP-4-guaranteed-authentic/1911433513.html
R2_RELAY,,5V 10A relay,,,http://www.aliexpress.com/item/Free-Shipping-10PCS-SRD-5VDC-SL-C-PCB-Type-5V-DC/662939016.html
R2_SW,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
R2_SW1,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
R3,10K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-10k-10K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852348196.html
R3_LED,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
R3_LED1,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
R3_OC,,PC817 optocoupler,SO-4,,http://www.aliexpress.com/item/Free-shipping-New-original-Everlight-SMD-optocoupler-EL817C-PC817-EL817S-C-SOP-4-guaranteed-authentic/1911433513.html
R4,10K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-10k-10K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852348196.html
R5,10K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-10k-10K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852348196.html
R6,10K,Resistor,805,,http://www.aliexpress.com/item/0805-SMD-Resistors-10k-10K-ohm-1-8W-5-0805-SMD-Resistors-0805-Chip-resistor-500pcs/852348196.html
